sequence,side,strong_minus_weak_markout,quote_survival_difference,dynamic_vs_static_improvement,count
stratified_null_30,combined,0.32119135233361873,0.0035050068634318587,1.4404991992447123,4868
stratified_null_31,buy,-0.8795427255856003,-0.024439281565543758,0.37808986918337784,2358
stratified_null_31,sell,0.5239033526138986,0.021453865964951524,0.9482703566953409,2510
stratified_null_31,combined,-0.22919525664367402,-0.0002923538534424508,0.5989719104814204,4868
stratified_null_32,buy,0.8309951364656083,0.03000101682694528,1.9775906324082542,2358
stratified_null_32,sell,0.0548679813141627,0.012362829628800198,-0.004540580010584383,2510
stratified_null_32,combined,0.37289960688860607,0.023227149225991117,0.8979201164367638,4868
stratified_null_33,buy,1.4394914045755693,0.0014389641922850638,2.9726930404466456,2358
stratified_null_33,sell,1.480603727568599,0.04698085213593861,1.6357047836811498,2510
stratified_null_33,combined,1.3896764610470105,0.025767631326403806,2.2126044921554793,4868
stratified_null_34,buy,1.7349452824953533,0.013861200040673038,2.911551268373814,2358
stratified_null_34,sell,0.3269064134770626,0.009622921448967037,0.602657269997183,2510
stratified_null_34,combined,1.045091490843972,0.013704593032908052,1.7573963730901048,4868
stratified_null_35,buy,0.7054264812667971,-0.04078708568153594,1.8020206154691376,2358
stratified_null_35,sell,-0.049013404925114856,0.00825471698113206,1.3380915268233977,2510
stratified_null_35,combined,0.172633485705118,-0.016223209332647648,1.4189570042690378,4868
stratified_null_36,buy,0.24984262663115053,0.02830014266390174,0.5957617499337735,2358
stratified_null_36,sell,1.0262602452403116,0.04066471642125302,0.43557983784026555,2510
stratified_null_36,combined,0.5842731454325325,0.036613878304671554,0.44746848597053535,4868
stratified_null_37,buy,1.1571565697004904,-0.01998989335642254,2.636406844975297,2358
stratified_null_37,sell,-0.23884935809509616,0.021530849336543312,0.3305628084038445,2510
stratified_null_37,combined,0.35725270940988685,0.000966954296427347,1.3675720497714647,4868
stratified_null_38,buy,1.2344424888021959,0.011930769491494131,0.7476356519551932,2358
stratified_null_38,sell,-1.4881227598353575,0.026475281339230772,-1.5402068052886486,2510
stratified_null_38,combined,-0.10647611251123126,0.021339401767890454,-0.3692266441429941,4868
stratified_null_39,buy,0.8324142862982884,-0.00941181183155182,3.5678465127737056,2358
stratified_null_39,sell,1.5876540905683734,0.012362829628800198,0.7986103807854683,2510
stratified_null_39,combined,1.2085930605041393,0.0028668494215685625,2.1275089420086344,4868
stratified_null_40,buy,0.9228695435478941,0.04166987634768082,1.8526722968940552,2358
stratified_null_40,sell,2.1555963991588785,0.05287707855103291,3.35975424097222,2510
stratified_null_40,combined,1.48679782635933,0.049316288806734665,2.5580033049729702,4868
stratified_null_41,buy,0.26107151727385536,-0.005256687177812247,1.6018318290887004,2358
stratified_null_41,sell,-0.336811421728922,0.019742735569117098,0.05001930692560419,2510
stratified_null_41,combined,-0.054836149965405756,0.008598118731297677,0.7942684629310822,4868
stratified_null_42,buy,-0.400575156095749,-0.00941181183155182,1.8628560338773137,2358
stratified_null_42,sell,-0.6313467962142316,-0.017461228374671067,0.03951434200602888,2510
stratified_null_42,combined,-0.5720920737166374,-0.012413700948732787,0.8705278575501555,4868
stratified_null_43,buy,1.7153338052143852,-0.012433020376595771,3.07346148750139,2358
stratified_null_43,sell,-0.4566525692528443,-0.019287833827893175,1.752127885108291,2510
stratified_null_43,combined,0.625023207804784,-0.013050643623892022,2.42157767816285,4868
stratified_null_44,buy,2.1682178871400315,0.031658752877158025,3.3382241476472454,2358
stratified_null_44,sell,-1.0283329316582588,0.01917235877050555,-0.5570320986376894,2510
stratified_null_44,combined,0.49775296565552607,0.02704637574353841,1.3076461618934427,4868
stratified_null_45,buy,-1.53076507631861,-0.006914423228025046,-0.2491518304481033,2358
stratified_null_45,sell,1.0745231553332413,0.02982405800347121,1.68798658513782,2510
stratified_null_45,combined,-0.3751302121792681,0.01241127141532472,0.5621183440966845,4868
stratified_null_46,buy,-0.640479919835335,-0.0008288680251063996,-0.8337628226614632,2358
stratified_null_46,sell,0.2725569368149646,0.03956245450982587,0.9569133178359862,2510
stratified_null_46,combined,-0.21689191654442613,0.020055798283939552,0.042160827951077506,4868
stratified_null_47,buy,2.2803793487372026,0.007230255839822064,2.569581252751699,2358
stratified_null_47,sell,0.8875997204725745,0.012628772185208026,0.5580324540129226,2510
