side,formation_window,horizon,component,subgroup_type,subgroup,low_mean_markout_bps,high_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,observation_count,low_count,high_count
buy,10,60,cancellation,test_day,2021-04-17,-0.8326059622668386,0.12251641173974827,0.9551223740065868,0.04579278035920106,86029,18081,10318
buy,10,60,cancellation,test_day,2021-04-18,-1.7767104391924093,1.6005914565021229,3.377301895694532,0.02493507055602528,86029,23421,4352
buy,10,60,cancellation,test_day,2021-04-19,0.30358797181297736,1.1649406558610822,0.8613526840481048,0.019997790662285974,35470,7478,3592
buy,10,60,cancellation,depth_tercile,low,-0.9723074375698617,-0.33962418112963755,0.6326832564402242,0.03091759852798595,95069,37551,1326
buy,10,60,cancellation,depth_tercile,middle,-1.7759346111070644,0.5326107425198591,2.3085453536269234,0.010111595425436276,81880,9874,7363
buy,10,60,cancellation,depth_tercile,high,-0.2249246357541131,0.9341997240034623,1.1591243597575753,0.019749875732527816,30579,1555,9573
buy,10,60,cancellation,volatility_tercile,low,-0.3035763766532566,0.25700505423909864,0.5605814308923552,0.04021467943350653,37445,10849,4391
buy,10,60,cancellation,volatility_tercile,middle,-0.4868315291009881,0.703397747359235,1.1902292764602231,0.03296694171431402,54779,14614,4942
buy,10,60,cancellation,volatility_tercile,high,-1.870493543830491,0.8746404222497194,2.7451339660802105,0.03461661016382932,115304,23517,8929
buy,10,60,cancellation,spread_regime,middle,-1.1105849887067103,0.6797922018881265,1.7903771905948367,0.03422437709421181,207528,48980,18262
buy,10,60,negative_replenishment,all,all,1.0611170390710196,-1.2796441745193974,-2.340761213590417,-0.04814332686118951,207528,28246,33814
buy,10,60,negative_replenishment,test_day,2021-04-17,0.4186789773919866,-0.8830603202388759,-1.3017392976308626,-0.05608886780484509,86029,12203,16158
buy,10,60,negative_replenishment,test_day,2021-04-18,1.5519596099335797,-2.288616654988705,-3.8405762649222845,-0.047107337043841874,86029,10748,13469
buy,10,60,negative_replenishment,test_day,2021-04-19,1.5453655216089681,0.43562891408257076,-1.1097366075263975,-0.029268820608427015,35470,5295,4187
buy,10,60,negative_replenishment,depth_tercile,low,0.6916440423453878,-1.1853478175646868,-1.8769918599100746,-0.046505948190535204,95069,457,28458
buy,10,60,negative_replenishment,depth_tercile,middle,1.2580289133659237,-1.413689545304671,-2.6717184586705947,-0.03468243157306407,81880,13977,4244
buy,10,60,negative_replenishment,depth_tercile,high,0.8740776452456308,-3.1812603369334775,-4.0553379821791085,-0.017094215599062077,30579,13812,1112
buy,10,60,negative_replenishment,volatility_tercile,low,0.7461937035956837,-0.8632673158260734,-1.6094610194217571,-0.05289328836001109,37445,2967,12036
buy,10,60,negative_replenishment,volatility_tercile,middle,1.128613263574012,-0.5391442801637514,-1.6677575437377634,-0.05161198799145806,54779,4754,12335
buy,10,60,negative_replenishment,volatility_tercile,high,1.0910074402923637,-2.7776403693843488,-3.8686478096767125,-0.04494755405878547,115304,20525,9443
buy,10,60,negative_replenishment,spread_regime,middle,1.0611170390710196,-1.2796441745193974,-2.340761213590417,-0.04814332686118951,207528,28246,33814
buy,10,60,P2_market_cancel_raw,all,all,-0.8521741720530475,-0.16760065459072687,0.6845735174623206,0.03153731776429685,207528,48479,18426
buy,10,60,P2_market_cancel_raw,test_day,2021-04-17,-0.7862056373213758,0.11597320081976432,0.9021788381411402,0.04474987960936279,86029,18221,10300
buy,10,60,P2_market_cancel_raw,test_day,2021-04-18,-1.2787116465509933,-1.8665413766961052,-0.5878297301451119,0.01935002232097422,86029,22564,4578
buy,10,60,P2_market_cancel_raw,test_day,2021-04-19,0.24249425831163374,1.2013226585632646,0.9588284002516309,0.021388562283782723,35470,7694,3548
buy,10,60,P2_market_cancel_raw,depth_tercile,low,-0.9768275522972824,-0.383316111383925,0.5935114409133573,0.026169591197764075,95069,37566,1310
buy,10,60,P2_market_cancel_raw,depth_tercile,middle,-0.7822671543638685,0.5860457559705493,1.3683129103344178,0.00701321881875975,81880,9552,7354
buy,10,60,P2_market_cancel_raw,depth_tercile,high,2.097845702515569,-0.7063968495168211,-2.80424255203239,0.009103041466809486,30579,1361,9762
